SampleID	marker	SRA_Accession
Bassenthwaite_01	12S	to be added
Bassenthwaite_01	CytB	to be added
Bassenthwaite_02	12S	to be added
Bassenthwaite_02	CytB	to be added
Bassenthwaite_03	12S	to be added
Bassenthwaite_03	CytB	to be added
Bassenthwaite_04	12S	to be added
Bassenthwaite_04	CytB	to be added
Bassenthwaite_05	12S	to be added
Bassenthwaite_05	CytB	to be added
Bassenthwaite_shore-01	12S	to be added
Bassenthwaite_shore-01	CytB	to be added
Derwent_01	12S	to be added
Derwent_01	CytB	to be added
Derwent_02	12S	to be added
Derwent_02	CytB	to be added
Derwent_03	12S	to be added
Derwent_03	CytB	to be added
Derwent_04	12S	to be added
Derwent_04	CytB	to be added
Derwent_05	12S	to be added
Derwent_05	CytB	to be added
Derwent_shore-01	12S	to be added
Derwent_shore-01	CytB	to be added
Windermere_01	12S	to be added
Windermere_01	CytB	to be added
Windermere_02	12S	to be added
Windermere_02	CytB	to be added
Windermere_03	12S	to be added
Windermere_03	CytB	to be added
Windermere_04	12S	to be added
Windermere_04	CytB	to be added
Windermere_05	12S	to be added
Windermere_05	CytB	to be added
Windermere_06	12S	to be added
Windermere_06	CytB	to be added
Windermere_07	12S	to be added
Windermere_07	CytB	to be added
Windermere_08	12S	to be added
Windermere_08	CytB	to be added
Windermere_09	12S	to be added
Windermere_09	CytB	to be added
Windermere_10	12S	to be added
Windermere_10	CytB	to be added
Windermere_11-0m	12S	to be added
Windermere_11-0m	CytB	to be added
Windermere_11-10m	12S	to be added
Windermere_11-10m	CytB	to be added
Windermere_11-20m	12S	to be added
Windermere_11-20m	CytB	to be added
Windermere_11-30m	12S	to be added
Windermere_11-30m	CytB	to be added
Windermere_11-40m	12S	to be added
Windermere_11-40m	CytB	to be added
Windermere_11-50m	12S	to be added
Windermere_11-50m	CytB	to be added
Windermere_11-60m	12S	to be added
Windermere_11-60m	CytB	to be added
Windermere_12	12S	to be added
Windermere_12	CytB	to be added
Windermere_13	12S	to be added
Windermere_13	CytB	to be added
Windermere_14	12S	to be added
Windermere_14	CytB	to be added
Windermere_15	12S	to be added
Windermere_15	CytB	to be added
Windermere_16	12S	to be added
Windermere_16	CytB	to be added
Windermere_17	12S	to be added
Windermere_17	CytB	to be added
Windermere_18	12S	to be added
Windermere_18	CytB	to be added
Windermere_19	12S	to be added
Windermere_19	CytB	to be added
Windermere_20	12S	to be added
Windermere_20	CytB	to be added
Windermere_21	12S	to be added
Windermere_21	CytB	to be added
Windermere_22	12S	to be added
Windermere_22	CytB	to be added
Windermere_23	12S	to be added
Windermere_23	CytB	to be added
Windermere_24	12S	to be added
Windermere_24	CytB	to be added
Windermere_25	12S	to be added
Windermere_25	CytB	to be added
Windermere_26	12S	to be added
Windermere_26	CytB	to be added
Windermere_27	12S	to be added
Windermere_27	CytB	to be added
Windermere_28-0m	12S	to be added
Windermere_28-0m	CytB	to be added
Windermere_28-10m	12S	to be added
Windermere_28-10m	CytB	to be added
Windermere_28-20m	12S	to be added
Windermere_28-20m	CytB	to be added
Windermere_28-30m	12S	to be added
Windermere_28-30m	CytB	to be added
Windermere_28-40m	12S	to be added
Windermere_28-40m	CytB	to be added
Windermere_29	12S	to be added
Windermere_29	CytB	to be added
Windermere_30	12S	to be added
Windermere_30	CytB	to be added
Windermere_31	12S	to be added
Windermere_31	CytB	to be added
Windermere_32	12S	to be added
Windermere_32	CytB	to be added
Windermere_33	12S	to be added
Windermere_33	CytB	to be added
Windermere_34	12S	to be added
Windermere_34	CytB	to be added
Windermere_35	12S	to be added
Windermere_35	CytB	to be added
Windermere_36	12S	to be added
Windermere_36	CytB	to be added
Windermere_37	12S	to be added
Windermere_37	CytB	to be added
Windermere_38	12S	to be added
Windermere_38	CytB	to be added
Windermere_39	12S	to be added
Windermere_39	CytB	to be added
Windermere_40	12S	to be added
Windermere_40	CytB	to be added
Windermere_41	12S	to be added
Windermere_41	CytB	to be added
Windermere_42	12S	to be added
Windermere_42	CytB	to be added
Windermere_43	12S	to be added
Windermere_43	CytB	to be added
Windermere_44	12S	to be added
Windermere_44	CytB	to be added
Windermere_45	12S	to be added
Windermere_45	CytB	to be added
Windermere_46	12S	to be added
Windermere_46	CytB	to be added
Windermere_47	12S	to be added
Windermere_47	CytB	to be added
Windermere_48	12S	to be added
Windermere_48	CytB	to be added
Windermere_49	12S	to be added
Windermere_49	CytB	to be added
Windermere_50	12S	to be added
Windermere_50	CytB	to be added
Windermere_shore-01	12S	to be added
Windermere_shore-01	CytB	to be added
Windermere_shore-02	12S	to be added
Windermere_shore-02	CytB	to be added
Windermere_shore-03	12S	to be added
Windermere_shore-03	CytB	to be added
Windermere_shore-04	12S	to be added
Windermere_shore-04	CytB	to be added
Windermere_shore-05	12S	to be added
Windermere_shore-05	CytB	to be added
Windermere_shore-06	12S	to be added
Windermere_shore-06	CytB	to be added
Mock-community_01	12S	to be added
Mock-community_01	CytB	to be added
Mock-community_02	12S	to be added
Mock-community_02	CytB	to be added
Mock-community_03	12S	to be added
Mock-community_03	CytB	to be added
Mock-community_04	12S	to be added
Mock-community_04	CytB	to be added
Mock-community_05	12S	to be added
Mock-community_05	CytB	to be added
Mock-community_06	12S	to be added
Mock-community_06	CytB	to be added
Mock-community_07	12S	to be added
Mock-community_07	CytB	to be added
Mock-community_08	12S	to be added
Mock-community_08	CytB	to be added
Mock-community_09	12S	to be added
Mock-community_09	CytB	to be added
Mock-community_10	12S	to be added
Mock-community_10	CytB	to be added
